transcription;language;emotion;model_transcription
Estoy curada.;es;neutral;jus they could hav he
Gracias señorita Burton.;es;neutral;grathia seniorite verton
Tomaré nota de su consideración.;es;neutral;t marynot tat the should consitered heppier
Eso es genial. Perfecto, sí.;es;neutral;hea swiss con hell perfectosy
¡Eres tú!;es;neutral;it is too
A veces, pero soy más discreta.;es;sadness;tes better sin mut is get hit
No, necesito un luchador con un master.;es;neutral;no nether se told each other colommers
Una noche saltó la barra y se ofreció a enseñarme a prepararlos. ;es;neutral;unnanoces altolavarsy of rethioin senar mear prrlos
Vuelve a la cama tesoro.;es;neutral;we'll be hat a cama tesser
Eso es estupendo.;es;neutral;he is fer sisto bender
Al contrario.;es;neutral;i contrat you
El otro día emprendimos una exploración a lo más recóndito de África en nuestro jardín.;es;neutral;helo tor the inbrand imosion exploration alemesry condito by africa and westerharty
Les he dicho que tenía que pasar la tarde con un periodista ecuestre muy importante.;es;neutral;lesidichokatanya  passarlatarde con umprdista equestrimore important
¡Oh, creía que se refería al juez!;es;neutral;ogea yacacerasary al cois
¡Muchas gracias!;es;neutral;which has gott up here
Creí que estabas viviendo un tórrido romance.;es;neutral;tee hi kis tapas bbian otoriver romanti
¡Feliz cumpleaños!  [no verbal];es;neutral;lead comple at yours
No ... [no verbal] ¡sí!;es;neutral;noh
[no verbal] caray.;es;neutral;nkati
Es que aquí hace calor.;es;surprise;iscaky at the color
¿Y sobre mí?;es;neutral;heis severan mea
¿Puedo verla?;es;neutral;with a mony
Que acogedora.;es;surprise;yacko hiller
Se lo agradecería.;es;sadness;lo sel not har the footlar
No me siento tan mayor.;es;neutral;mercy in the time mayore
Treinta y uno hasta mi próximo cumpleaños.;es;neutral;as amy proxima coomplayanya
Es preciosa.;es;neutral;he's precious
[No verbal] ¿Qué significa?;es;neutral;don't kis significant
Me esperara que llegara eso.;es;neutral;lispit hata kayac ad eyes so
¿Dónde estás?;es;neutral;no thate's the house
Semejante obligación no existe.;es;neutral;thes in mecanty obligation nexistsn
A todas horas soy atendida por médicos que me informan de mis propios intereses.;es;neutral;atota sora sojert andiga por medicals can ma inform on them his provious interest
Este pueblo me está afixiando.;es;neutral;it's the peveleber tes mex sand e
¡No lo es! Es la mía.;es;neutral;no loi says lammia
¡Por el amor de Dios, Dave!;es;neutral;ilamar at your das
¿Por qué no dijiste lo de ese hombre?;es;neutral;forcennodyis telotesumbr
"Toda la prensa británica se ha levantado pensado: ""Sé dónde está Anna Scott"".";es;neutral;tota the prince a britany caserlemantad opense ando sondesnascot
En esa casa de la puerta azul en Notting Hill.;es;neutral;tenesa cassa telaporta follen nothing kill
Y luego tú sales con tus ridículos calzoncillos.;es;neutral;vogotools selets conto ridiculos canton features
Por el amor de Dios, tengo novio.;es;joy;fot re amore that yo 'r taing gon of you
Pero mañana saldrá tu foto en cada periódico de aquí a Tombuctú.;es;neutral;pero mayana sagrat to fot in cata periodial a itom buk to
Bueno, esta situación es perfecta para ti.;es;joy;m boners te sit oction is perfect te paraty
Mínima inversión, máxima publicidad.;es;neutral;meanin bing barceon matim apolisedhad
"Vayas donde vayas la gente dirá: ""Oh, bien hecho, te has tirado a esa actriz"".";es;neutral;byceston debates achente ra oh oh bea nature de astinato isactrice
Hemos visto las fotos.;es;neutral;famous visitorios photos
Te da miedo que yo no te ame.;es;neutral;the damia to ce ul of the army
Y sabes que yo también tengo miedo.;es;neutral;hes serves a schedule campiont and compiato
Pero joder, debemos intentarlo, al menos habré sido honesta contigo.;es;neutral;wit oop tere the membors inten tarlo amender av resid onlesta contigo
Pues mal hecho, deberías haberme consultado.;es;neutral;pois marriage temed as a veremy consulter
Puede ser el objeto más valioso que tenemos.;es;neutral;foy this seal op hetomaspal your soccer tenemos
¡Y quiero que me digas inmediatamente cuándo vas a venir a casa!;es;neutral;the kiero commetticars im media commeted one tovertamenina tasa
Es que me gustaría que se me reconociera el hecho de que me mato intentándolo.;es;neutral;text kemegust to hear smereconnotion aletu thecmima to intentunder
¡No se acerque a ella!;es;sadness;no's ye a fair cade
No quiero decir por fuera, ¡cambia por dentro!;es;neutral;nook ero the filpor fora can be a por ventro
¡Corre riesgos, comete errores!;es;neutral;corretescots committer rolis
¡Sí! En ocasiones es importante no ser perfecto, ¿vale? Es importante equivocarse.;es;joy;s in occasion is an important enorselperfector valley es important echimocracy
No, para cometerlos.;es;neutral;e note paracomet torlers
Y se acabó el boxear fuera.;es;sadness;hes secon ol walks out of fota
¿Entendido? No se boxea. ¡Punto!;es;neutral;hence they dino noste moxea wonto
Seguiréis yendo al colegio.;es;neutral;se grasgien dol collecion
Estudiaréis en la universidad y tendréis una profesión.;es;neutral;sto ther isinle universi date and nras in a profession
Porque no quiero que también os machaquen el cráneo.;es;neutral;fortano kiro kit tamvienas matcack in e cranyo
¿Lo habéis entendido?;es;neutral;to ave vasent than dinner
¿Queda claro?;es;neutral;he them get out
Pero evita como sea ese combate. Si es necesario, rómpete la mano.;es;neutral;vita comos is a combater she is necessary o rong patel amano
Pues me he asustado y no he dicho nada y a los diez segundos tenía un arma en mi cara. ;es;surprise;os ma ustado inoin i chonada gellosget seconderstadia onarman mikara
Y te aseguro que tu amigo, el de ahí, va a vender nuestra llave a uno de sus colegas.;es;neutral;in tes ehulok a to amegel day bab and ternus trajavia one of he ss collegas
Y esta vez sería de puta madre que actuaras como si te importara algo.;es;neutral;eestabetes eria the putamadric ac toaras covositar importar algo
Teniendo las manos de ese cerdo por todas partes.;es;neutral;the nindolas manord is a third oporotos partis
Que no se quede quieto mientras me meten mano.;es;neutral;culdno ekuther kiato mean tsmetmitin mano
No tiene sentido que pases todo el día aquí encerrado. ;es;neutral;not innoceny tho ke parces togal thiakian ferrado
Estoy harta tí.;es;neutral;tht's  to year in terape
Fue culpa mía.;es;neutral;for i goud pat me
Podía haberlo impedido.;es;joy;ir d loo im petties
No sabías que últimamente se despertaba.;es;neutral;no savias kiled timament said the spertab
Y yo sabía que algunas veces ...;es;neutral;it yus apiak alguna's pathest
... se levantaba de la cama.;es;neutral;sel on tabatula capa
Y andaba por ahí.;es;neutral;he and a pa po ray
Se despertaba.;es;neutral;jes pe tower
Y se sentía confuso.;es;neutral;a confuser
También me quiero morir.;es;neutral;tum in mcisoma
¿El dolor seguirá siempre igual?;es;sadness;the nurse i has seem bag
Será mucho peor.;es;neutral;e wot her beher
¿Tiene un caramelo?;es;neutral;sh nam karamera
Mami te envía millones y millones de besos.;es;neutral;mamiten beamiho asimiyon as the vesos
Excepto lo que más deseo.;es;neutral;they extep the lokmaster sal
Estoy preocupada por Ray.;es;neutral;his triper co anda por right
No se si él podrá soportarlo [non-verbal];es;neutral;this is will palter supporter lo
En esas cosas.;es;neutral;and this is cusset
Y lo que parecía una estúpida sesión de fotos es una peli porno.;es;joy;ilokarto nice tupid sitsing on the photoseson belly pollen
Briony, no queda mucho tiempo.;es;neutral;brioni noke them wa o dimp
Robbie tiene que presentarse a las seis.;es;surprise;robby tinik presenter eller says
Para coger el tren.;es;neutral;parakohirtl train
Así que siéntate.;es;joy;i see casin tada
Siento muchisimo.;es;neutral;sent to mucisiv
El terrible dolor que os he causado.;es;surprise;it is the rive leadeler cosecaus
Lo siento mucho.;es;neutral;elpsin the mooch
Lo siento tanto.;es;neutral;loes him to that
No hay ningún William Parcher. ;es;neutral;thi in tengo william bart
Sólo está en tu mente.;es;neutral;solist to mainta
¿Lo entiendes, mi amor?;es;neutral;ren dam tes m ol
No es real.;es;neutral;do hiss me
Estás enfermo, John.;es;sadness;'s thas i fate mor jon
¿Intentarías hacerme daño?;es;neutral;inten tat he has a thirm medalu
Pero mis ... mis hijas, ellas.;es;neutral;see cassidus
Otra decepción.;es;neutral;ota es eption
Que se va.;es;neutral;cod sit na
Lo siento.;es;neutral;los ent
¿Te sientes orgullosa de mí?;es;neutral;seos gt yourseltee
Jim, tú no lo has visto.;es;neutral;the im tora ast vista
Se lo han dado al tío de city core;es;neutral;seven dodulti a the city
De que me llevarías contigo.;es;neutral;the commedee body has gon tick
Ojalá pudiera formar parte de el.;es;surprise;a pos in a fortmol partyday
Sin esa familia, nunca podrías haber escrito nada igual.;es;neutral;sinas a familyanocapotarias apperes cri on a taquan
Les necesitas.;es;neutral;hat ne thes itus
Y que cuando vuelvas me cuentes hasta el último detalle. ;es;neutral;he cik on the walpers naquentesestile victim of tatac
Es sólo que sangra mucho.;es;neutral;hesolocates angra muccho
Un tipo trató de atracarme, me ... me defendí y me rajó.;es;neutral;antiotrato te attackarmesefenti miraco
Iba tranquilamente hacia mi coche.;es;neutral;he watrkillament as yonic puche
Le digo no fumo y me dice yo tampoco, así que.;es;neutral;nofor more emagines ett jo tampoko ar sike
Claro por eso crees que la maté yo.;es;neutral;ngolaro putis o criskela materio
Por llegar a casa manchado de sangre la noche que matan a Katie.;es;neutral;achet of i angrilla no matakty
Por tanto debo haber sido yo, ¿verdad?;es;neutral;furton to te oversee the job batta
No puedo seguir confiando en mi mente, Celeste. No puedo más.;es;neutral;presorsacate coffee and the miment nes mach
¿Qué coño está pasando? ¿Dónde estoy?;es;sadness;he con yous coppa sangle on this toy
No lo sé.;es;neutral;don't sa it
¿Y eso qué importa? Ahora estoy confundido. ¿Cómo te llamas tú?;es;neutral;he also came por ouris taken from thetocanota jama stool
¿Qué coño pasa aquí?;es;neutral;take go on yo pasa ki
Fuí a dormir a mi apartamento y me he despertado en este lugar asqueroso.;es;neutral;weadormedamy a partamentory made spertadonist til raraskinoso
Es lo que suelen hacer. Te secuestran, te drogan.;es;sadness;hiss locationl in affairat  guesterante drogan
Y antes de que te des cuenta, tú estás en una bañera y tus riñones en otra persona.;es;neutral;he enters the telesco interto stassin un of e nearly two renionis and otr person
¡¿Quién anda ahí?!;es;neutral;th end ond dae
¡Sal!;es;neutral;sol
¡Te mataré, cabrón!;es;neutral;the motoric comeron
¿Quién es?;es;neutral;te anist
Sí, cariño, soy yo. Estoy aquí.;es;neutral;she carried nosa yonsto yaki
Esto no formaba parte del trato.;es;neutral;estonoform ova party thel trato
Alicia estaba trabajando para el gobierno.;es;neutral;alisia is te batrabagan to paral copierno
Existe una amenaza de proporciones catastróficas.;es;fear;exist ehungamenatha the proportion is catastrophis
Con el debido respeto, esto … esto es ridículo. ¡No tiene ningún sentido!;es;neutral;colnel debita respector is the stosiculonanotianan y gul sactino
¿Qué es ese olor?;es;surprise;iis your noter
Sí, te lo dije. A mí me hizo lo mismo.;es;surprise;see telodike have been made folomismo
Lo es, no te mentía.;es;neutral;lo is notabe dea
Me, me está electrocutando.;es;neutral;m electro cotando
¡Socorro, que alguien me ayude!;es;neutral;co ron tell them that yo ter
¿Quién eres?;es;neutral;seat at is
¿Quién eres?;es;neutral;se generesk
"Es como decir: ""No es un revuelta, es rabia. No es un crimen, es pobreza"".";es;neutral;hmosar nos una revolta heirs rabia nosuncreeman hers poveressa
Mira esta triste, miserable y aplastada cosa.;es;neutral;mirestatris miserablicer plas ote cosa
¿Alguien puede decirme dónde está el fallo de esa fotografía?;es;neutral;malgin pointed a theoremed on the style fhaduot asa photography
Bueno, pues, quizás.;es;neutral;wana plite guitharst
Al cumplir seis años, mi mejor amigo, Scott Tibbs, me pinchó con un clavo, eso te no había contado.;es;neutral;at complete saseos man hodamigoscop pebs may been chocoton clabois on tlovia contata
¿A sí? Pues, ese poli piensa que tú estás detrás de todo.;es;neutral;mersy prossessor polypian cirket two stas detrusted other
Tengo horas de consulta. Si necesitas más información sobre refranes, expresiones ...;es;neutral;tingoreis the consulter seen nat thes sitas mass information overrefranes expression
Y al parecer, tú también.;es;neutral;yell prefer to tambian
Bueno, eso se llama mutación, madre. El milagro de la genética es que yo no soy tú.;es;neutral;benoi sosajama mutation mothry help me lackero th lachinetics ktjonosoito
Vivo contigo. Sé cuanto estudias, o debería decir no estudias. Y sacas mejores notas que yo.;es;sadness;bibocontigo sequent wo studio so thy varia the thear no studios isacu's mehor is not ta schedule
¿Es porque tu padre era médico y tu abuelo era médico?;es;sadness;he sporke two patred a medical to avoleda medica
¿Es un asunto genético quizá?;es;neutral;thers on nat untocheneti cockitha
Saddam. ¿Se llama Saddam? Genial, estupendo, Bruce.;es;sadness;sadam syama sadam kenyane tupendobroles
¡Concédete un ascenso por favor!;es;neutral;considera tiven as tenso or favor
Construye barrios, no los destruye evidentemente.;es;neutral;construtio barrios now los the struje evidenteminte
Extravié una importante demanda. Esa es su versión.;es;neutral;extrabeuna importante demanda is a supersie
¿Te cuento la mía?;es;neutral;leckwentolamia
[no verbal] es un idiota.;es;neutral;yes we ned the oter
Siempre ha sido un idiota.;es;neutral;the empress is on idiota
Guay. Gracias.;es;surprise;why ys
Deséame suerte.;es;neutral;thet's am a certain
¿Hace una sesión de video esta noche?;es;neutral;arthon assassione the video standargy
Tengo unos clásicos cojonudos.;es;neutral;hean gonars classicas cochonoters
Pero sería emocionante, ¿verdad? Alguien famoso en la tienda [no verbal].;es;neutral;fesi emotion anteverra an t infarmasio an latin
¡Venga, un baile!;es;neutral;benga owne biley
Ya me lo has contado todo.;es;neutral;jamil was contracted
Ve a patita cabrón. Will se lleva el coche.;es;neutral;miopatita cavroang will surgebal coche
Vaya, que encanto de mujer.;es;neutral;bayakin comen to themorasion
Porque son aburridas, insoportables.;es;joy;for castonable readers mean support averytis
Eso es maravilloso.;es;neutral;his son is mada vitos
Tranquilo es broma. De qué sirve estar chalado msi no puedes divertirte.;es;neutral;kilosboro has a casir vester chalanos did not way ther to develophim
Como os quiero, chicos.;es;neutral;com oskatr tacars
Por primera vez en dieciocho años voy a poder estar al mando de mi propia vida. ¡Ay, Dios mío!;es;neutral;for premera wesens with yoco and osbota poneres ransmanded em appropria vinaears mil
Pues en realidad tantas veces como puede.;es;neutral;nrally as base is commooporated
Santo Dios bendito.;es;neutral;son tody o swel
Santo Dios, la Virgen y San José.;es;neutral;son todios lavikan is san jorse
Tú podrías salir con una bocina y perseguirle por el ring.;es;neutral;to potrea salir conolabothinai per secired laboral ry
No comprenderá que se trata de un negro.;es;neutral;no comperent erak is a tratalim negro
[no verbal] por favor.;es;neutral;for vapor
¿Cómo está?;es;neutral;come with them
¿Qué le pasa en la cara?;es;sadness;he livers in lakana
Gracias, no hay más preguntas.;es;neutral;grathi as no i mas prit
Sr. Wheeler, es usted magnífico.;es;neutral;senior waylet us whostain tat nifi
[No verbal] eso es lógico. Medio capuchino marchando.;es;neutral;his was logica mevio capuccino marchendo
Esa mierda es lo mejor que he oído salir ...;es;neutral;hi is some year teslo mjorkyoino sali
Por favor, déjadle en paz.;es;neutral;for fabor they hat lim pa
No sé. A las chicas les gusta.;es;neutral;no say alastic has littostar
¿Es esa la forma de hablarle a un invitado? ¿A un amigo de la familia?;es;neutral;they have larely own im bitar rown amigo than afamilia
¿Estás enfermo?;es;neutral;it that infetma
De puta madre. Ha resucitado.;es;neutral;the bot ar unresu vitirl
Seis putos kilos.;es;neutral;sas budter skiners
De verdad tío este chaval es una pasada.;es;neutral;theathe ost te camalas una pasata
He perdido la cuenta tío.;es;sadness;hip pered yu l a quit tat eh
Da igual, colega.;es;surprise;noh whagonic
Te vendría bien, un bien [no verbal].;es;neutral;thevendry af bean combia bo
¡Y ese es el segundo mejor invento!;es;neutral;he assessel secundal recording benter
Pero tú, Jimmy, le miras como si fueras a arrancarle la nariz y obligar ...;es;neutral;lemiras come fores aran carlel anaritobi
¿Verdad que es extraño? [no verbal] tener muchos hijos.;es;neutral;the tack is extranor tener muchos ehos
Preferiría no hacerlo yo mismo. ;es;neutral;prefidity and noterlyo misma
Cada uno tiene su propia idea de lo que es el paraíso. [no verbal];es;neutral;calauno teenes to propa they alitokistel paraeso
Pero a la parienta, a la parienta le parece el paraíso. [no verbal];es;neutral;pero al apariente halaparienta lepareth in pariso
[No verbal] bien. Como le he dicho me obligan a preguntar si lo entiende.;es;neutral;bet commole racho me wolig an a pregon tarsilo intended
¿Qué tiene de malo reírse del secretario general del partido? [no verbal];es;neutral;cukina te maloraid setled secretario gheneral del partido
Además, seguro de que ya me lo sé. [no verbal];es;neutral;hade as a siguldo kaj an millors
¡Todo se hizo por ti!;es;neutral;o the face af party
¡Se hizo para que mejoraras!;es;neutral;so es openakemichoradas
Se hizo por amor.;es;neutral;so he's a pot and more
¡Es de mi hija de quien estoy hablando!;es;neutral;it's enlika to ken te stoyap lanto
¡Que todo el mundo cierre el pico!;es;neutral;it tongal moon oftered picke
¡Cerrad el pico!;es;neutral;s arandil picko
¿Por qué coño crees que estaba allí?;es;neutral;for kekon yo kres kastavagy
"Vamos, responde: ""¿Qué hay que comprender?";es;neutral;bummos respond the k i kcompren ther
... y las procesas.;es;neutral;he loes professors
"Dices: ""Las malvadas fueron ellas, ellas son las culpables"".";es;neutral;the feslas mal bathes were on a jaseya solas school published
Porque por casualidad una de las víctimas escribió un libro.;es;joy;for kepor casuality on avelaus victim as screbo liberal
¿Quién lo sabía?;es;neutral;e an losabia
¿Qué sabían?;es;neutral;hes sabien
Pues, ¿lo sabían todos?;es;neutral;h was los avia and todos
Mírate, jodida ruina humana.;es;neutral;meet up the ecodida ruina wanna
Exacto, está muerta joder. ¿Ella la palma y tú recoges tus fichas y te das el piro?;es;neutral;exacto stamwerta hother ejala palmai to recog hestose features interasial peado
Te perdiste una mano de cojones. Hay gente que pierde una mano como esa y tiene los huevos de volver a apostar.;es;neutral;perdistin amount of the cohonis action tik appear the onamaocomo idinelos web os develment apostala
¿Por qué crees que hace eso, Gerry? ¿Tienes alguna puta idea?;es;neutral;or kickerers gaffe so ciarly pianes are gonna put idea
Tú y todos los tuyos me consideráis un caso lamentable.;es;neutral;two totherslow studios maconsy the reson casto ament tablet
No se trata de ti, matemático gilipollas.;es;neutral;n secretar the t mathematical hiripojas
¡Se trata del chico!;es;joy;s a traton al chico
Y no voy a dejar que le jodas como estás intentando joderme a mí.;es;neutral;novoya te harkeljonas comwertis intentanto conermi ami
¿Me has oído? ¡Cállate!;es;neutral;natural youdo kayate
O te corto en mil pedazos con esto.;es;neutral;the corton mill pedazo s conesto
Pues, no me tengas en ascuas sobre lo que piensas.;es;neutral;weih nomy tingers in as uas overloka piencas
Claro que es él, ¿qué aspecto tenía?;es;neutral;a rooka sell cas by totani
¡Pues deberías maldita sea!;es;neutral;ho as tebarias panty to sal
¡Me da igual que le ames!;es;neutral;may thiy quile kell amis
Hazme caso!;es;neutral;ar's be caso
¡Hay un autobús lleno de muertos!;es;neutral;adon otopus gena the mortos
¡¿Y podrían hacer daño a alguien?!;es;neutral;epotry an aserdanio algn
¿A quién? ¿A un amigo tuyo?;es;neutral;her kid ow on anigo to yo
No, esa eres tú.;es;neutral;no in site is too
Cierto, no me caes bien.;es;neutral;the ertonnomik is pian
No estamos en el recreo.;es;neutral;nos tambos anal recreo
¡Esto es un asunto serio!;es;neutral;this torit on assum to sellyo
¿Dices que soy un capullo?;es;neutral;theef es cisodium capula
Que no está preparado para ser médico y bajo mi responsabilidad ...;es;neutral;kenosta preparad operashor medical evakov irresponsibilita
¡Joder!;es;neutral;so i better
Uno se siente muy …;es;neutral;rad os es set table
Sólo cuando le hace daño a alguien.;es;neutral;so lok quadolias sani gear
Te sientes como ...;es;neutral;she is intiscopal
... un extraño.;es;neutral;o likter hany
La quería.;es;neutral;akidia
Muchísimo.;es;neutral;or jasip
Por la noche nos sentábamos en la cocina ...;es;neutral;or lanuch present devevemers in lacotita
... que éramos las dos únicas personas sobre la tierra.;es;neutral;ara was tlast to sunicas personats avrella teatre
Rechazado.;es;neutral;it's a father
Sobre las ocho.;es;neutral;t is overi lass hotol
Se fue a ver a Eve y Diane.;es;neutral;we are beta yar that yeat
Nos íbamos el domingo.;es;neutral;annaseva was eld on inco
Pensábamos casarnos allí.;es;neutral;oam with casatin esay
Ese era el plan saben.;es;anger;se tat blunt savin
La quería tanto.;es;neutral;locka shut at to
Tiene nada igual.;es;neutral;didn another equad
Nunca en la vida.;es;neutral;no can lappita
Pero ahora quiere morir.;es;neutral;na hora tate for
Y yo quiero que se quede conmigo.;es;neutral;yokia dookes a ceteconomy
Lo juro por Dios, Padre...;es;neutral;no would a partneys bater
Es cometer un pecado el que haga.;es;neutral;it is committed in pecatoli cloha
Manteniéndola viva la estoy matando.;es;neutral;mantanyindo labiva rest in patan
Lo entiendes.;es;neutral;ut danters
Cómo lo resumido;es;neutral;amblot i sweep
Fui a ver a Maggie esta mañana.;es;neutral;fu ya wate magi stammaad
Debías de haber salido.;es;anger;the ban sol a betr esseble thew
Puede que no la firmes.;es;sadness;wy they cannot affir miss
Y me das un poco más de tiempo.;es;neutral;he met the some pocomers that tiamp
Hagas lo que hagas, Rosen tiene razón en una cosa.;es;neutral;hagas lokeak has a trosantina rathon in mdakosa
No debes quedarte.;es;neutral;tho tepes gathered
Ya no soy de fiar.;es;neutral;can't shew with afair
No lo sé.;es;neutral;dollars
Que el Dr. Rosen te lleve a casa de tu madre.;es;neutral;cel doctor rose and thejviackas are the two madry
Tú tienes ese don.;es;neutral;to the end sasegon
Sabes tratar a la gente.;es;neutral;sefistrater laghend
Les caes bien.;es;neutral;lis guys beod
Y si te vas, no aprenderé a hacerlo.;es;neutral;he seet te basson no appren the res
Hasta que una noche se enteró de que se había ...;es;neutral;as ta kaumanochis in tero o the kasyavia
Él no es la misma persona que era antes.;es;neutral;l nuslam is my persona gira antis
Apenas se hablan. Son como extraños.;es;neutral;abin evlinsome comics tiagues
Porque siente que ...;es;neutral;orcase indic
... sería ... como ayudar también al otro.;es;neutral;se a come on yo that tampion al otro
Otra familia, otra ...;es;neutral;otra familia or tre
Non so che cosa mi succede scusami.;it;sadness;sock because i misso chede is cousami
Scusa è davvero scortese da parte mia.;it;neutral;besecouse the verous cortes at aparte me
Non toccarmi Dio.;it;neutral;loto caepty
Una mattina, a Wellfleet, c'eri tu, eravamo tutti lì.;it;joy;ona mte l flit cherry to and i wa mo to telly
Non lo so, io stavo incartando i bicchieri e qualche  altra cosa.;it;anger;nonosa yon stabl incartan to bk qualcy altrcause it
Ho avuto un’angoscia tremenda.;it;neutral;however to tnangasiad remained
Non è che hai fatto questo passo solo per me vero?;it;neutral;if a tokistof passo the solo pr may wero
Ti prego rispondimi, cosa è successo, dimmi.;it;neutral;shibrago responden because i suc cest wodim
Non stò mentendo, sono andata da lui per un aiuto.;it;neutral;no stom maintain the sorundaatt weper on a yout
Non te lo posso dire, qualcuno potrebbe farsi del male.;it;neutral;noroposody qualkuno potr be versity and mal
Chiacchiera troppo e  si caccia nei guai.;it;neutral;jackiratropo is sikachonigual
La notte se ne andava a dormire a Hooverville.;it;neutral;lanotisan andava dormi rea overfield
Mio fratello non ha posto per tutti e due.;it;neutral;i'm you fratel and on opposed opertutia due
Mike ha detto che sai, se doveva stare là;it;anger;mise do weyva stared la
Tanto valeva cercare di organizzare la gente.;it;neutral;san to oliva chircaryd urgan is arylagent
È successo qualcosa Jim, me lo sento.;it;neutral;his succestocall caus achieve mille's end
Ho saputo che ci sono stati dei disordini a Hooverville.;it;neutral;potocaches as aty-day disord in ea overfeed
Non sapevo da chi altro andare Jim.;it;neutral;tesape we the killter an that achee
No, ma credo che abbiano visto me.;it;neutral;no mkredo capian ovistome
Aspetta, hai sentito?;it;neutral;bend s isentit
Non poteva arrivarci da sola ma è abbastanza alta.;it;neutral;a potevalivercida sola knona pastensas
Questo lo sa spiegare?;it;neutral;s you l sasspe a gat
Parlare col comandante.;it;neutral;political commandant
È sufficiate che voi facciate sgombrare i corridoi, così posso controllare.;it;sadness;i sufficat kpwoi fa chates gombrare icoritoi because he passo control ere
Non restano molti posti da controllare, basta fare evaquare l'aereo allatterraggio.;it;neutral;no multiple sitiar controller ipastafa river quiri larealaterraja
Tesoro non é un buon motivo.;it;neutral;itis anola gamaty
L'ho vista per caso passare di qui.;it;neutral;lave vista perkazo passaredequio
L’havuta una brutta esperienza lei.;it;neutral;the a botho not blod experience alit
Non è in se in questo momento.;it;neutral;what one ain's seeing questap af it
Ha chiuso a chiave un sacco di cose mie importanti, documenti e altre cose che devo riavére perciò non lo faccia salire.;it;neutral;accuse e camsoicosemi important yo to comtrosiorr personal of a chester lire
Allora ci stai con me a ucciderlo.;it;neutral;i do red is take on me out jettl
La prego abbia pietà di me. Ho una famiglia.;it;sadness;la prego jampute i mey on e sony ya
Non capisco. Che vuol dire tenerlo in vita?;it;neutral;lonca s comvercable derer then arlin beating
Non diga sciocchezze morirebbe.;it;neutral;tak a sho kit an moly lit bat
Quatto freddo.;it;fear;quite afraid
Io solo continuare a fare la nostra solita vita e dimenticare tuttto;it;neutral;he as sollo continuary for an amastrosolida with a dmintica ritut
Io l’ho già vista.;it;neutral;yulo jap vista
Qui al centro commerciale, a casa nostra.;it;neutral;alchintrocomircialin causan ost
Ma chi!;it;neutral;mac hier
Ma che cosa stai dicendo.;it;neutral;my kikkaus is tanger champelat
Non hanno detto niente, giusto?;it;neutral;not anodetonianty guster
E perchè, dire che fregna sempre non è criticare? Io credo di sì.;it;neutral;aperq dad a cefenias emperon on acletic car a ocrododis
Ma guarda che novità.;it;neutral;maguar dakinnovita
Voglio dire Vanessa, che anche i pazzi gradirebbero essere invitati.;it;neutral;vollodiravany sakyank patsi gradilaberas rinbitardi
Sì un trionfo.;it;neutral;see on triungh
Sei caduto e hai battuto la testa sul pavimento.;it;neutral;sekaduteba tutal attestasoperement
Qualcun’altro ha un'idea che io possa utilizzare?;it;neutral;we al cona throw ou only ther ko psotil itter
Joid, tesoro caro, io ti voglio tanto bene.;it;neutral;lloyd tatis our care youtivalue a tante man
Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;it;neutral;valtam began at acaded in missachusia veramintem faild
Sei sempre stato più simile a tuo padre.;it;surprise;say semple is that of you similar to a patre
Ti dispiacerebbe dirmi cosa vuoi esattamente?;it;neutral;thy dispatchare bidir me cause avoy is attaminte
Ora lei mi dà la pistola o mi ridà i miei soldi.;it;neutral;ora lay midle a pistola o merida im years old
E io preferirei di gran lunga i miei soldi.;it;neutral;ayo preferreri the granlongaimia salty
Me le da per favore?;it;neutral;milidap is favored
Oh sì, ci avrebbero sparato in mezzo al boulievard.;it;neutral;s chavereberosparato in medzul bulever
Mio padre è del Puerto Rico, mia madre è del Salvador.;it;neutral;meo pathre adel porto ricuo mia madhre adel salvador
Né l'uno né l'altro è il Messico.;it;neutral;nelunonelautro e mexico
Non lo so. Non è malata?;it;neutral;no low saw no em malata
I malati a volte inventano le cose se non sbaglio.;it;neutral;in maladia volti inventoan olegas is sinosban
Una donna che aveva in cura ha ucciso il marito.;it;joy;una donnakya viving coul au cizo is married
Una benda per gli occhi.;it;neutral;on a bend up er lyoki
Oh smettila mamma. Ti farai venire una emorragia nasale.;it;joy;m telamam tifi vener oy more radian a ir
Me lo ricordi tutti i santi giorni.;it;neutral;millo recordi to tisanti journey
Non era una domanda.;it;neutral;nonat o nothermand
Qualcuno ha una sigaretta?;it;neutral;walcouna on a cigareta
E tu puoi fare qualsiasi cosa, giusto?;it;surprise;a two pefid rgrases i cars a juster
Poteva anche salire il tuo amico gli facevo un caffé.;it;neutral;hotevank is aleder to ami qolifachi bompofer
Non sarà un novantotto ma sono ancora.;it;neutral;no saround event taught them as son ancorred
In Texas non lo bevono il caffè?;it;neutral;in texas nolobib on a caffe
Larry, perché non te ne vai adesso.;it;neutral;lar kaprikinon teneva yadso
Certo che lo so.;it;neutral;sa toke te son
Sono guarita.;it;neutral;sono guarita
Congratulazioni!;it;neutral;come gretule let's se onny
Bene, grazie Signor Burton.;it;neutral;bain egraatis in yorob afternoon
Sai che sorpresa.;it;neutral;psychis sor praisa
Fantastica! È veramente grandiosa. Perfetto.;it;joy;well fantastica veramintic grandioceper
Sei proprio tu!;it;neutral;so  properly ou too
