transcription;language;emotion;model_transcription
Sei un grande!;italian;happiness; Sei un grande!
Dave tu hai una vaga idea di che storia di successo sei diventato.;italian;happiness; David, tu hai una vaga idea di che storia di successo sei diventato.
Però tu Jimmy, guardi Brenda come se volessi staccarli il naso e farglielo mangiare.;italian;happiness; Però, tu Jimmy, guardi Brendan come se volessi staccarli in naso e farglielo mangiare.
Non no no, stai fresca figurati [non-verbal];italian;happiness; No, no, no, stai fresca, figurati.
Stava andando verso la sua macchina per tornare a casa.;italian;happiness; Stava andando verso la sua macchina per tornare a casa!
Forse c'è una critica.;italian;happiness; forse c'è una critica.
Credevo che il paradiso fosse avere dei bambini.;italian;happiness; Credevo che il paradiso fosse avere dei bambini.
Ah sì diceva così.;italian;happiness; Ah sì? Diceva così, eh?
Signora mi dispiace ma temo che ci sia un malinteso.;italian;happiness; Signora mi dispiace ma temo che ci sia un malinteso.
Non sta mai seduta calma per un momento.;italian;happiness; Non sta mai seduta, calma per un momento.
No lo so perché.;italian;happiness; Non lo so, perché?
Mi sente un po' sciocco a dargliela di persona.;italian;happiness; Mi sento un po' sciocco a dargliela di persona.
Non è così, l’ho usato, soltanto per ripulire.;italian;happiness; Non è così, l'ho usato solo per ripulire.
Te ricordi che stavo solo scherzando.;italian;happiness; Guardi che stavo solo scherzando!
C’ha creduto eh! non era male [non-verbal];italian;happiness; Ci hai creduto eh? Non è male!
Ok lo conosco il tipo.;italian;happiness; Ok, lo conosco il tipo.
Ah  devo occuparmi di una ragazza.;italian;happiness; Ah, devo occuparmi di una ragazza!
Senza cielo ciò ne doveo immaginarme.;italian;happiness; Sento cielo, dovevo immaginarmi!
[non-verbal] grazie signora.;italian;happiness; Ah, grazie signore.
Su questo non ci piove.;italian;happiness; Su questo non ci piove.
Il vecchio Don è inutile come le tete su un cinghiale maschio.;italian;happiness; Il vecchio Don è inutile come le tette su un cinghiale maschio.
Tutti hanno un’idea personale di quello che credono sia il paradiso.;italian;happiness; Tutti hanno un'idea personale di quello che credono sia il paradiso.
Una passeggiata.;italian;anger; Una passeggiata!
Tutto qui? Una passeggiata.;italian;anger; Tutto qui è una passeggiata!
È stato fatto per te.;italian;anger; È stato fatto per te!
Perché tu potesti salvarti.;italian;anger; Perché tu potessi salvarti?
È stato fatto per amore.;italian;anger; È stato fatto per amore!
Ho avuto il premio per la mia esibizione.;italian;anger; Ho avuto il premio per la mia esibizione.
Credi che me lo avrebbero dato se fossi stato cosí.;italian;anger; Credi che me lo avrebbero dato se fossi stato sano?
E questo mi fa incazzare di bruto.;italian;anger; E questo mi fa incazzare di brutto!
Se poi continuate a somministrarcele queste belle idiozie liberali.;italian;anger; E voi continuate a somministrarcene queste belle idiozie liberali!
Tutti si voltano dall’altra parte mentre il paese sta marcendo dal didentro.;italian;anger; Tutti si voltano dall'altra parte mentre il paese sta marcendo dal di dentro.
Centotrentanni! Ma quanto tempo gli serve per riuscire ad integrarsi?;italian;anger; 130 anni fa quanto tempo gli serve per riuscire a integrarsi?
Non sono più un bambino di quattordici anni lo sai.;italian;anger; Non sono più un bambino di 14 anni, lo sai?
Zitti! Cazzo!;italian;anger; SITTI, C***O!
È di mia figlia che si stà parlando.;italian;anger; E' di mia figlia che si sta parlando!
Dovete stare zitti!;italian;anger; Dovete stare zitti!
Che diavolo c'ero venuto a fare.;italian;anger; Che diavolo ce ne ho venuto a fare!
Ma si guardi cazzo, lei è uno sposto.;italian;anger; Ma se guardi cazzo lei è uno spostato
Da lezioni ha me sulla vita.;italian;anger; da lezioni a me sulla vita.
Esatto è morta cazzo. Sua moglie creppa e lei s’incassa le sue fiscie e va via.;italian;anger; Esatto, è morta, cazzo! Sua moglie crepa e lei in casa le sue fischie e se ne va via!
L’ha persa. Ha perso una grossa mano. Molte persone perdono una mano come questa ma hanno il fegato di ritornare in pista.;italian;anger; L'ha persa, ha perso la grossa mano! Molte persone perdono una mano come questa, ma hanno il fegato di ritornare in pista!
Ma perché credi che faccia così Jerry? Ti hè venuto il sospetto cazzo.;italian;anger; Ma perché credi che faccia così, Jerry? Ti è venuto il sospetto, cazzo!
E tu e i tuoi colleghi mi vedete come un caso pietoso.;italian;anger; E tu e i tuoi colleghi mi vedete come un caso pietoso!
Io non te biasimo! Quio non si parla di te cazzone di un matematico.;italian;anger; Io non ti biasimo! Qui non si parla di te, cazzone di un matematico!
È un bravo ragazzo!;italian;anger; È un bravo ragazzo!
Ve io non lascerò che tu lo faccia brandelli come ha cercato di fare a brandelli me ora.;italian;anger; E io non lascerò che tu lo faccia a Brandelli come hai cercato di fare a Brandelli me ora!
Non lascerò che tu lo faccia sentire un fallito.;italian;anger; Non lascerò che tu lo faccia sentire un fallito!
Io torno a casa quando o finite non un istante prima. È chiaro!?;italian;anger; Io torno a casa quando finite, non un istante prima, è chiaro?
O ti faccio a ffettine con questo!;italian;anger; o ti faccio affettine con questo!
E allora perché non mi dici quello che stai pensando!;italian;anger; E allora perché non mi dici quello che stai pensando?
E invece dovresti chiederlo!;italian;anger; E invece dovresti chiederlo!
Non mi interessa se lo ami!;italian;anger; Non mi interessa se lo ami!
C'è un autobus piano di morti!;italian;anger; C'è un autobus pieno di morti!
Io voglio fare il medico questo non è un gioco per me.;italian;anger; Io voglio fare il medico, questo non è un gioco per me!
Questo non è un passatempo.;italian;anger; Questo non è un passatempo!
Questa è una cosa molto seria.;italian;anger; Questa è una cosa molto seria!
Deve solo controllare che la sua testa sia un cazzo e stia attaccata al collo.;italian;anger; Deve solo controllare che la sua testa sia un cazzo e stia attaccata al collo!
Un incontro interrotto dall’arbitro fa pena.;italian;anger; Un incontro interrotto dall'arbitro? Fa pena!
Cosa vorrebbe dire.;italian;anger; Cosa vorrebbe dire?
Ci può sentire.;italian;sadness; Ti fa sentire.
Così solo, sai fare del male a qualcuno.;italian;sadness; Così solo sai fare a te male qualcuno.
Ti fà sentire e come.;italian;sadness; ti fa sentire come...
Un alieno.;italian;sadness; Un alliello!
Quando sono uscito di galera.;italian;sadness; quando sono uscito di Calera.
Sai dopo ...;italian;sadness; Sai dopo.
Che per me quando ero in prigione.;italian;sadness; che per me quando ero in prigione.
Le volevo bene.;italian;sadness; voleva bene
Soprattutto.;italian;sadness; Soprattutto...
Perché a quel tavolo di cucina quella sera.;italian;sadness; perché a quel tavolo di cucina quella sera...
Era come se fossimo le ultime due pessone sulla terra.;italian;sadness; Era come se fossimo le ultime due persone sulla terra.
Rifiutati.;italian;sadness; rifiutati
Io voglio solo abbracciarla un’ultima volta.;italian;sadness; Io voglio solo abbracciarla un'ultima volta.
Verso le otto.;italian;sadness; Verso le otto.
E dovevamo partire domeni.;italian;sadness; dovevamo partire domenica
Dovevamo sposarci appena arrivati.;italian;sadness; Dovevamo sposarci appena arrivati.
Era questo il piano.;italian;sadness; E' da questo il piano.
Io l’amavo da more.;italian;sadness; Io l'ammavo da morire.
Non amerò nessun’altra così.;italian;sadness; Non avrò nessun'altra così.
Succede una volta sola.;italian;sadness; succede una volta sola
Però adesso ha deciso di morire.;italian;sadness; Però adesso ho deciso di morire.
E invece voglio solo tenerlo con me.;italian;sadness; Invece io voglio solo teressa con me.
Le giuro su mio padre che sono.;italian;sadness; Le giuro su mio padre che so.
So che sarebbe peccato mortale farlo.;italian;sadness; Lo so che sarebbe peccato mortale farlo.
Però ttenerla in vita è come ucciderla.;italian;sadness; Però tenerla in vita è come ucciderla.
Capisce Padre.;italian;sadness; Capisco, padre.
Che cosa bisogna fare.;italian;sadness; Che cosa bisogna fare?
Sono andato a trovarla stamattina.;italian;sadness; Sono andato a troverla stamattina.
Ho visto che tu non c’eri.;italian;sadness; Ho visto che tu non c'eri.
Beh forse tu non le firmerai.;italian;sadness; Beh, forse tu non li filmerai.
Forse tu mi darai un po' di tempo.;italian;sadness; Forse tu mi darei un po' di tempo.
Ed io cercherò di trovare una soluzione.;italian;sadness; e io cercherò di trovare una soluzione.
Qualunque cosa tu faccia Rosen ha ragione su un punto.;italian;sadness; Qualunque cosa tu faccia, Rosina ragione c'è un punto.
Non sei più al sicuro con me.;italian;sadness; Non sei più al sicuro con me.
Non lo so.;italian;sadness; Non lo so
Forsé il dottor Rosen può accompagnarti da tua madre.;italian;sadness; Forse il dottor Rosen può accompagnarti da tua madre.
Poi una sera scopre di aver commesso uno sbaglio con uno di loro.;italian;sadness; Poi una sera scopre di aver commesso uno sbaglio con uno di loro.
Quel momento non fa che pensare a lui, non può dimenticare.;italian;sadness; E quel momento non fa che pensare a lui, non può dimenticare.
Lui non è più la stessa persona di una volta.;italian;sadness; Lui non è più la stessa persona di una volta.
A sua moglie non piace la persona che lui è diventata.;italian;sadness; e a sua moglie non piace la persona che lui è diventato.
A malappena si parlano. Ormai sono due strani.;italian;sadness; A malapena si parlano ormai, sono due strane.
E poi un giorno Malcom incontra un bambino meraviglioso.;italian;sadness; E poi un giorno Malcolm incontra un bambino meraviglioso.
Malcom decide di tentare di aiutare questo bambino.;italian;sadness; e Malcolm decide di tentare di aiutare questo bambino.
Perché sente che …;italian;sadness; perché sente che
… sarebbe come aiutare anche quell'altro.;italian;sadness; Sarebbe come aiutare anche quell'altro.
Devi renderti conto che quando io ero piccolo lui era più spesso via che a casa.;italian;sadness; Devi renderti conto che quando io ero piccolo lui era più spesso via che a casa.
Tanto che io cominciai a pensare che avessi una seconda vita altrove.;italian;sadness; Tanto che io cominciai a pensare che avesse una seconda vita altrove.
Un'altra famiglia.;italian;sadness; un'altra famiglia.
Comunque sia lui preferisce la sua seconda vita.;italian;sadness; Comunque sia lui preferisce la sua seconda vita.
