manual transcription;audio;language;emotion
No me siento tan mayor.;f_gio208aes.wav;es;happiness
Treinta y uno hasta mi próximo cumpleaños.;f_gio209aes.wav;es;happiness
Es preciosa.;f_gio210aes.wav;es;happiness
[No verbal] ¿Qué significa?;f_gio212aes.wav;es;happiness
Me esperara que llegara eso.;f_gio214aes.wav;es;happiness
¿Dónde estás?;f_rab003aes.wav;es;anger
Semejante obligación no existe.;f_rab008aes.wav;es;anger
A todas horas soy atendida por médicos que me informan de mis propios intereses.;f_rab009aes.wav;es;anger
Este pueblo me está afixiando.;f_rab010aes.wav;es;anger
¡No lo es! Es la mía.;f_rab010bes.wav;es;anger
¡Por el amor de Dios, Dave!;f_rab011aes.wav;es;anger
¿Por qué no dijiste lo de ese hombre?;f_rab011bes.wav;es;anger
"Toda la prensa británica se ha levantado pensado: ""Sé dónde está Anna Scott"".";f_rab012aes.wav;es;anger
En esa casa de la puerta azul en Notting Hill.;f_rab012bes.wav;es;anger
Y luego tú sales con tus ridículos calzoncillos.;f_rab012ces.wav;es;anger
Por el amor de Dios, tengo novio.;f_rab013bes.wav;es;anger
Pero mañana saldrá tu foto en cada periódico de aquí a Tombuctú.;f_rab014aes.wav;es;anger
Bueno, esta situación es perfecta para ti.;f_rab015aes.wav;es;anger
Mínima inversión, máxima publicidad.;f_rab015bes.wav;es;anger
"Vayas donde vayas la gente dirá: ""Oh, bien hecho, te has tirado a esa actriz"".";f_rab015ces.wav;es;anger
Hemos visto las fotos.;f_rab015des.wav;es;anger
Te da miedo que yo no te ame.;f_rab029aes.wav;es;anger
Y sabes que yo también tengo miedo.;f_rab029bes.wav;es;anger
Pero joder, debemos intentarlo, al menos habré sido honesta contigo.;f_rab029ces.wav;es;anger
Pues mal hecho, deberías haberme consultado.;f_rab034aes.wav;es;anger
Puede ser el objeto más valioso que tenemos.;f_rab037aes.wav;es;anger
¡Y quiero que me digas inmediatamente cuándo vas a venir a casa!;f_rab042aes.wav;es;anger
Es que me gustaría que se me reconociera el hecho de que me mato intentándolo.;f_rab047ces.wav;es;anger
¡No se acerque a ella!;f_rab064aes.wav;es;anger
No quiero decir por fuera, ¡cambia por dentro!;f_rab068aes.wav;es;anger
¡Corre riesgos, comete errores!;f_rab068bes.wav;es;anger
¡Sí! En ocasiones es importante no ser perfecto, ¿vale? Es importante equivocarse.;f_rab069aes.wav;es;anger
No, para cometerlos.;f_rab070aes.wav;es;anger
Y se acabó el boxear fuera.;f_rab082aes.wav;es;anger
¿Entendido? No se boxea. ¡Punto!;f_rab082bes.wav;es;anger
Seguiréis yendo al colegio.;f_rab083aes.wav;es;anger
Estudiaréis en la universidad y tendréis una profesión.;f_rab083bes.wav;es;anger
Porque no quiero que también os machaquen el cráneo.;f_rab083ces.wav;es;anger
¿Lo habéis entendido?;f_rab084aes.wav;es;anger
¿Queda claro?;f_rab084bes.wav;es;anger
Pero evita como sea ese combate. Si es necesario, rómpete la mano.;f_rab087aes.wav;es;anger
Pues me he asustado y no he dicho nada y a los diez segundos tenía un arma en mi cara. ;f_rab089ces.wav;es;anger
Y te aseguro que tu amigo, el de ahí, va a vender nuestra llave a uno de sus colegas.;f_rab090aes.wav;es;anger
Y esta vez sería de puta madre que actuaras como si te importara algo.;f_rab090bes.wav;es;anger
Teniendo las manos de ese cerdo por todas partes.;f_rab092bes.wav;es;anger
Que no se quede quieto mientras me meten mano.;f_rab094aes.wav;es;anger
No tiene sentido que pases todo el día aquí encerrado. ;f_rab098aes.wav;es;anger
Estoy harta tí.;f_rab901aes.wav;es;anger
Fue culpa mía.;f_tri001aes.wav;es;sadness
Podía haberlo impedido.;f_tri002aes.wav;es;sadness
No sabías que últimamente se despertaba.;f_tri003aes.wav;es;sadness
Y yo sabía que algunas veces ...;f_tri004aes.wav;es;sadness
... se levantaba de la cama.;f_tri005aes.wav;es;sadness
Y andaba por ahí.;f_tri005bes.wav;es;sadness
Se despertaba.;f_tri006aes.wav;es;sadness
Y se sentía confuso.;f_tri007aes.wav;es;sadness
También me quiero morir.;f_tri008aes.wav;es;sadness
¿El dolor seguirá siempre igual?;f_tri009aes.wav;es;sadness
Será mucho peor.;f_tri010aes.wav;es;sadness
¿Tiene un caramelo?;f_tri017aes.wav;es;sadness
Mami te envía millones y millones de besos.;f_tri018aes.wav;es;sadness
Excepto lo que más deseo.;f_tri023aes.wav;es;sadness
Estoy preocupada por Ray.;f_tri026aes.wav;es;sadness
No se si él podrá soportarlo [non-verbal];f_tri027aes.wav;es;sadness
En esas cosas.;f_tri032ces.wav;es;sadness
Y lo que parecía una estúpida sesión de fotos es una peli porno.;f_tri037aes.wav;es;sadness
Briony, no queda mucho tiempo.;f_tri039aes.wav;es;sadness
Robbie tiene que presentarse a las seis.;f_tri039bes.wav;es;sadness
Para coger el tren.;f_tri039ces.wav;es;sadness
Así que siéntate.;f_tri039des.wav;es;sadness
Siento muchisimo.;f_tri040aes.wav;es;sadness
El terrible dolor que os he causado.;f_tri040bes.wav;es;sadness
Lo siento mucho.;f_tri040ces.wav;es;sadness
Lo siento tanto.;f_tri041aes.wav;es;sadness
No hay ningún William Parcher. ;f_tri044aes.wav;es;sadness
Sólo está en tu mente.;f_tri044bes.wav;es;sadness
¿Lo entiendes, mi amor?;f_tri045aes.wav;es;sadness
No es real.;f_tri045bes.wav;es;sadness
Estás enfermo, John.;f_tri045ces.wav;es;sadness
¿Intentarías hacerme daño?;f_tri047aes.wav;es;sadness
Pero mis ... mis hijas, ellas.;f_tri049aes.wav;es;sadness
Otra decepción.;f_tri054aes.wav;es;sadness
Que se va.;f_tri054ces.wav;es;sadness
Lo siento.;f_tri059aes.wav;es;sadness
¿Te sientes orgullosa de mí?;f_tri071aes.wav;es;sadness
Jim, tú no lo has visto.;f_tri081aes.wav;es;sadness
Se lo han dado al tío de city core;f_tri085aes.wav;es;sadness
De que me llevarías contigo.;f_tri091bes.wav;es;sadness
Ojalá pudiera formar parte de el.;f_tri094aes.wav;es;sadness
Sin esa familia, nunca podrías haber escrito nada igual.;f_tri096aes.wav;es;sadness
Les necesitas.;f_tri096bes.wav;es;sadness
Y que cuando vuelvas me cuentes hasta el último detalle. ;f_tri097bes.wav;es;sadness
Es sólo que sangra mucho.;m_ans001aes.wav;es;fear
Un tipo trató de atracarme, me ... me defendí y me rajó.;m_ans002aes.wav;es;fear
Iba tranquilamente hacia mi coche.;m_ans003aes.wav;es;fear
Le digo no fumo y me dice yo tampoco, así que.;m_ans003bes.wav;es;fear
Claro por eso crees que la maté yo.;m_ans007aes.wav;es;fear
Por llegar a casa manchado de sangre la noche que matan a Katie.;m_ans007bes.wav;es;fear
Por tanto debo haber sido yo, ¿verdad?;m_ans007ces.wav;es;fear
No puedo seguir confiando en mi mente, Celeste. No puedo más.;m_ans008aes.wav;es;fear
¿Qué coño está pasando? ¿Dónde estoy?;m_ans011aes.wav;es;fear
No lo sé.;m_ans013aes.wav;es;fear
¿Y eso qué importa? Ahora estoy confundido. ¿Cómo te llamas tú?;m_ans014aes.wav;es;fear
¿Qué coño pasa aquí?;m_ans014bes.wav;es;fear
Fuí a dormir a mi apartamento y me he despertado en este lugar asqueroso.;m_ans015bes.wav;es;fear
Es lo que suelen hacer. Te secuestran, te drogan.;m_ans016aes.wav;es;fear
Y antes de que te des cuenta, tú estás en una bañera y tus riñones en otra persona.;m_ans016bes.wav;es;fear
¡¿Quién anda ahí?!;m_ans020bes.wav;es;fear
¡Sal!;m_ans020ces.wav;es;fear
¡Te mataré, cabrón!;m_ans020des.wav;es;fear
¿Quién es?;m_ans021aes.wav;es;fear
Sí, cariño, soy yo. Estoy aquí.;m_ans022aes.wav;es;fear
Esto no formaba parte del trato.;m_ans023aes.wav;es;fear
Alicia estaba trabajando para el gobierno.;m_ans024aes.wav;es;fear
Existe una amenaza de proporciones catastróficas.;m_ans024bes.wav;es;fear
Con el debido respeto, esto … esto es ridículo. ¡No tiene ningún sentido!;m_ans030aes.wav;es;fear
¿Qué es ese olor?;m_ans101aes.wav;es;fear
Sí, te lo dije. A mí me hizo lo mismo.;m_ans105aes.wav;es;fear
Lo es, no te mentía.;m_ans105bes.wav;es;fear
Me, me está electrocutando.;m_ans106aes.wav;es;fear
¡Socorro, que alguien me ayude!;m_ans107aes.wav;es;fear
¿Quién eres?;m_ans124aes.wav;es;fear
¿Quién eres?;m_ans124bes.wav;es;fear
"Es como decir: ""No es un revuelta, es rabia. No es un crimen, es pobreza"".";m_dis001aes.wav;es;disgust
Mira esta triste, miserable y aplastada cosa.;m_dis002aes.wav;es;disgust
¿Alguien puede decirme dónde está el fallo de esa fotografía?;m_dis002bes.wav;es;disgust
Bueno, pues, quizás.;m_dis003aes.wav;es;disgust
Al cumplir seis años, mi mejor amigo, Scott Tibbs, me pinchó con un clavo, eso te no había contado.;m_dis003bes.wav;es;disgust
¿A sí? Pues, ese poli piensa que tú estás detrás de todo.;m_dis005aes.wav;es;disgust
Tengo horas de consulta. Si necesitas más información sobre refranes, expresiones ...;m_dis008bes.wav;es;disgust
Y al parecer, tú también.;m_dis014aes.wav;es;disgust
Bueno, eso se llama mutación, madre. El milagro de la genética es que yo no soy tú.;m_dis016aes.wav;es;disgust
Vivo contigo. Sé cuanto estudias, o debería decir no estudias. Y sacas mejores notas que yo.;m_dis018bes.wav;es;disgust
¿Es porque tu padre era médico y tu abuelo era médico?;m_dis023bes.wav;es;disgust
¿Es un asunto genético quizá?;m_dis023ces.wav;es;disgust
Saddam. ¿Se llama Saddam? Genial, estupendo, Bruce.;m_dis035aes.wav;es;disgust
¡Concédete un ascenso por favor!;m_dis036aes.wav;es;disgust
Construye barrios, no los destruye evidentemente.;m_dis043aes.wav;es;disgust
Extravié una importante demanda. Esa es su versión.;m_dis044aes.wav;es;disgust
¿Te cuento la mía?;m_dis044bes.wav;es;disgust
[no verbal] es un idiota.;m_gio001aes.wav;es;happiness
Siempre ha sido un idiota.;m_gio001bes.wav;es;happiness
Guay. Gracias.;m_gio002aes.wav;es;happiness
Deséame suerte.;m_gio002bes.wav;es;happiness
¿Hace una sesión de video esta noche?;m_gio003aes.wav;es;happiness
Tengo unos clásicos cojonudos.;m_gio003bes.wav;es;happiness
Pero sería emocionante, ¿verdad? Alguien famoso en la tienda [no verbal].;m_gio004aes.wav;es;happiness
¡Venga, un baile!;m_gio005aes.wav;es;happiness
Ya me lo has contado todo.;m_gio010aes.wav;es;happiness
Ve a patita cabrón. Will se lleva el coche.;m_gio013aes.wav;es;happiness
Vaya, que encanto de mujer.;m_gio015aes.wav;es;happiness
Porque son aburridas, insoportables.;m_gio016aes.wav;es;happiness
Eso es maravilloso.;m_gio017aes.wav;es;happiness
Tranquilo es broma. De qué sirve estar chalado msi no puedes divertirte.;m_gio018aes.wav;es;happiness
Como os quiero, chicos.;m_gio022aes.wav;es;happiness
Por primera vez en dieciocho años voy a poder estar al mando de mi propia vida. ¡Ay, Dios mío!;m_gio023aes.wav;es;happiness
Pues en realidad tantas veces como puede.;m_gio034aes.wav;es;happiness
Santo Dios bendito.;m_gio041aes.wav;es;happiness
Santo Dios, la Virgen y San José.;m_gio041bes.wav;es;happiness
Tú podrías salir con una bocina y perseguirle por el ring.;m_gio046aes.wav;es;happiness
No comprenderá que se trata de un negro.;m_gio049aes.wav;es;happiness
[no verbal] por favor.;m_gio049bes.wav;es;happiness
¿Cómo está?;m_gio054aes.wav;es;happiness
¿Qué le pasa en la cara?;m_gio054bes.wav;es;happiness
Gracias, no hay más preguntas.;m_gio056aes.wav;es;happiness
Sr. Wheeler, es usted magnífico.;m_gio058aes.wav;es;happiness
[No verbal] eso es lógico. Medio capuchino marchando.;m_gio062aes.wav;es;happiness
Esa mierda es lo mejor que he oído salir ...;m_gio100aes.wav;es;happiness
Por favor, déjadle en paz.;m_gio101aes.wav;es;happiness
No sé. A las chicas les gusta.;m_gio102aes.wav;es;happiness
¿Es esa la forma de hablarle a un invitado? ¿A un amigo de la familia?;m_gio103aes.wav;es;happiness
¿Estás enfermo?;m_gio104aes.wav;es;happiness
De puta madre. Ha resucitado.;m_gio105aes.wav;es;happiness
Seis putos kilos.;m_gio106aes.wav;es;happiness
De verdad tío este chaval es una pasada.;m_gio107aes.wav;es;happiness
He perdido la cuenta tío.;m_gio108aes.wav;es;happiness
Da igual, colega.;m_gio108bes.wav;es;happiness
Te vendría bien, un bien [no verbal].;m_gio110aes.wav;es;happiness
¡Y ese es el segundo mejor invento!;m_gio111aes.wav;es;happiness
Pero tú, Jimmy, le miras como si fueras a arrancarle la nariz y obligar ...;m_gio119aes.wav;es;happiness
¿Verdad que es extraño? [no verbal] tener muchos hijos.;m_gio123aes.wav;es;happiness
Preferiría no hacerlo yo mismo. ;m_gio129aes.wav;es;happiness
Cada uno tiene su propia idea de lo que es el paraíso. [no verbal];m_gio140aes.wav;es;happiness
Pero a la parienta, a la parienta le parece el paraíso. [no verbal];m_gio140bes.wav;es;happiness
[No verbal] bien. Como le he dicho me obligan a preguntar si lo entiende.;m_gio145aes.wav;es;happiness
¿Qué tiene de malo reírse del secretario general del partido? [no verbal];m_gio146aes.wav;es;happiness
Además, seguro de que ya me lo sé. [no verbal];m_gio146bes.wav;es;happiness
¡Todo se hizo por ti!;m_rab006aes.wav;es;anger
¡Se hizo para que mejoraras!;m_rab006bes.wav;es;anger
Se hizo por amor.;m_rab006ces.wav;es;anger
¡Es de mi hija de quien estoy hablando!;m_rab021bes.wav;es;anger
¡Que todo el mundo cierre el pico!;m_rab021ces.wav;es;anger
¡Cerrad el pico!;m_rab021des.wav;es;anger
¿Por qué coño crees que estaba allí?;m_rab022aes.wav;es;anger
"Vamos, responde: ""¿Qué hay que comprender?";m_rab027aes.wav;es;anger
... y las procesas.;m_rab029aes.wav;es;anger
"Dices: ""Las malvadas fueron ellas, ellas son las culpables"".";m_rab029bes.wav;es;anger
Porque por casualidad una de las víctimas escribió un libro.;m_rab029ces.wav;es;anger
¿Quién lo sabía?;m_rab030ces.wav;es;anger
¿Qué sabían?;m_rab030des.wav;es;anger
Pues, ¿lo sabían todos?;m_rab030ees.wav;es;anger
Mírate, jodida ruina humana.;m_rab045aes.wav;es;anger
Exacto, está muerta joder. ¿Ella la palma y tú recoges tus fichas y te das el piro?;m_rab046aes.wav;es;anger
Te perdiste una mano de cojones. Hay gente que pierde una mano como esa y tiene los huevos de volver a apostar.;m_rab047aes.wav;es;anger
¿Por qué crees que hace eso, Gerry? ¿Tienes alguna puta idea?;m_rab050aes.wav;es;anger
Tú y todos los tuyos me consideráis un caso lamentable.;m_rab053ces.wav;es;anger
No se trata de ti, matemático gilipollas.;m_rab055aes.wav;es;anger
¡Se trata del chico!;m_rab055bes.wav;es;anger
Y no voy a dejar que le jodas como estás intentando joderme a mí.;m_rab055ces.wav;es;anger
¿Me has oído? ¡Cállate!;m_rab064aes.wav;es;anger
O te corto en mil pedazos con esto.;m_rab067aes.wav;es;anger
Pues, no me tengas en ascuas sobre lo que piensas.;m_rab070aes.wav;es;anger
Claro que es él, ¿qué aspecto tenía?;m_rab071aes.wav;es;anger
¡Pues deberías maldita sea!;m_rab084aes.wav;es;anger
¡Me da igual que le ames!;m_rab087aes.wav;es;anger
Hazme caso!;m_rab087bes.wav;es;anger
¡Hay un autobús lleno de muertos!;m_rab089bes.wav;es;anger
¡¿Y podrían hacer daño a alguien?!;m_rab089ces.wav;es;anger
¿A quién? ¿A un amigo tuyo?;m_rab090aes.wav;es;anger
No, esa eres tú.;m_rab093aes.wav;es;anger
Cierto, no me caes bien.;m_rab095aes.wav;es;anger
No estamos en el recreo.;m_rab097aes.wav;es;anger
¡Esto es un asunto serio!;m_rab097bes.wav;es;anger
¿Dices que soy un capullo?;m_rab099aes.wav;es;anger
Que no está preparado para ser médico y bajo mi responsabilidad ...;m_rab110bes.wav;es;anger
¡Joder!;m_rab119ces.wav;es;anger
Uno se siente muy …;m_tri001aes.wav;es;sadness
Sólo cuando le hace daño a alguien.;m_tri001bes.wav;es;sadness
Te sientes como ...;m_tri002aes.wav;es;sadness
... un extraño.;m_tri002bes.wav;es;sadness
La quería.;m_tri005aes.wav;es;sadness
Muchísimo.;m_tri005bes.wav;es;sadness
Por la noche nos sentábamos en la cocina ...;m_tri005ces.wav;es;sadness
... que éramos las dos únicas personas sobre la tierra.;m_tri005des.wav;es;sadness
Rechazado.;m_tri005ees.wav;es;sadness
Sobre las ocho.;m_tri007aes.wav;es;sadness
Se fue a ver a Eve y Diane.;m_tri007ces.wav;es;sadness
Nos íbamos el domingo.;m_tri008aes.wav;es;sadness
Pensábamos casarnos allí.;m_tri008bes.wav;es;sadness
Ese era el plan saben.;m_tri008ces.wav;es;sadness
La quería tanto.;m_tri009aes.wav;es;sadness
Tiene nada igual.;m_tri009bes.wav;es;sadness
Nunca en la vida.;m_tri009ces.wav;es;sadness
Pero ahora quiere morir.;m_tri011aes.wav;es;sadness
Y yo quiero que se quede conmigo.;m_tri011bes.wav;es;sadness
Lo juro por Dios, Padre...;m_tri011ces.wav;es;sadness
Es cometer un pecado el que haga.;m_tri011des.wav;es;sadness
Manteniéndola viva la estoy matando.;m_tri011ees.wav;es;sadness
Lo entiendes.;m_tri011fes.wav;es;sadness
Cómo lo resumido;m_tri011ges.wav;es;sadness
Fui a ver a Maggie esta mañana.;m_tri012aes.wav;es;sadness
Debías de haber salido.;m_tri012bes.wav;es;sadness
Puede que no la firmes.;m_tri014aes.wav;es;sadness
Y me das un poco más de tiempo.;m_tri014bes.wav;es;sadness
Hagas lo que hagas, Rosen tiene razón en una cosa.;m_tri015aes.wav;es;sadness
No debes quedarte.;m_tri015bes.wav;es;sadness
Ya no soy de fiar.;m_tri015ces.wav;es;sadness
No lo sé.;m_tri016aes.wav;es;sadness
Que el Dr. Rosen te lleve a casa de tu madre.;m_tri016bes.wav;es;sadness
Tú tienes ese don.;m_tri020aes.wav;es;sadness
Sabes tratar a la gente.;m_tri020bes.wav;es;sadness
Les caes bien.;m_tri021aes.wav;es;sadness
Y si te vas, no aprenderé a hacerlo.;m_tri021bes.wav;es;sadness
Hasta que una noche se enteró de que se había ...;m_tri025aes.wav;es;sadness
Él no es la misma persona que era antes.;m_tri028aes.wav;es;sadness
Apenas se hablan. Son como extraños.;m_tri029aes.wav;es;sadness
Porque siente que ...;m_tri030bes.wav;es;sadness
... sería ... como ayudar también al otro.;m_tri030ces.wav;es;sadness
Otra familia, otra ...;m_tri039aes.wav;es;sadness
Non so che cosa mi succede scusami.;f_ans001ait.wav;it;fear
Scusa è davvero scortese da parte mia.;f_ans002ait.wav;it;fear
Non toccarmi Dio.;f_ans004ait.wav;it;fear
Una mattina, a Wellfleet, c'eri tu, eravamo tutti lì.;f_ans005ait.wav;it;fear
Non lo so, io stavo incartando i bicchieri e qualche  altra cosa.;f_ans009ait.wav;it;fear
Ho avuto un’angoscia tremenda.;f_ans009bit.wav;it;fear
Non è che hai fatto questo passo solo per me vero?;f_ans010bit.wav;it;fear
Ti prego rispondimi, cosa è successo, dimmi.;f_ans012ait.wav;it;fear
Non stò mentendo, sono andata da lui per un aiuto.;f_ans018ait.wav;it;fear
Non te lo posso dire, qualcuno potrebbe farsi del male.;f_ans019ait.wav;it;fear
Chiacchiera troppo e  si caccia nei guai.;f_ans040ait.wav;it;fear
La notte se ne andava a dormire a Hooverville.;f_ans041ait.wav;it;fear
Mio fratello non ha posto per tutti e due.;f_ans041bit.wav;it;fear
Mike ha detto che sai, se doveva stare là;f_ans042ait.wav;it;fear
Tanto valeva cercare di organizzare la gente.;f_ans042bit.wav;it;fear
È successo qualcosa Jim, me lo sento.;f_ans043ait.wav;it;fear
Ho saputo che ci sono stati dei disordini a Hooverville.;f_ans044ait.wav;it;fear
Non sapevo da chi altro andare Jim.;f_ans045ait.wav;it;fear
No, ma credo che abbiano visto me.;f_ans048ait.wav;it;fear
Aspetta, hai sentito?;f_ans100ait.wav;it;fear
Non poteva arrivarci da sola ma è abbastanza alta.;f_ans101ait.wav;it;fear
Questo lo sa spiegare?;f_ans102ait.wav;it;fear
Parlare col comandante.;f_ans103ait.wav;it;fear
È sufficiate che voi facciate sgombrare i corridoi, così posso controllare.;f_ans104ait.wav;it;fear
Non restano molti posti da controllare, basta fare evaquare l'aereo allatterraggio.;f_ans105ait.wav;it;fear
Tesoro non é un buon motivo.;f_ans106ait.wav;it;fear
L'ho vista per caso passare di qui.;f_ans108ait.wav;it;fear
L’havuta una brutta esperienza lei.;f_ans109ait.wav;it;fear
Non è in se in questo momento.;f_ans109bit.wav;it;fear
Ha chiuso a chiave un sacco di cose mie importanti, documenti e altre cose che devo riavére perciò non lo faccia salire.;f_ans111bit.wav;it;fear
Allora ci stai con me a ucciderlo.;f_ans112ait.wav;it;fear
La prego abbia pietà di me. Ho una famiglia.;f_ans114ait.wav;it;fear
Non capisco. Che vuol dire tenerlo in vita?;f_ans115ait.wav;it;fear
Non diga sciocchezze morirebbe.;f_ans117ait.wav;it;fear
Quatto freddo.;f_ans118ait.wav;it;fear
Io solo continuare a fare la nostra solita vita e dimenticare tuttto;f_ans120ait.wav;it;fear
Io l’ho già vista.;f_ans121ait.wav;it;fear
Qui al centro commerciale, a casa nostra.;f_ans122ait.wav;it;fear
Ma chi!;f_ans122bit.wav;it;fear
Ma che cosa stai dicendo.;f_ans125ait.wav;it;fear
Non hanno detto niente, giusto?;f_ans200ait.wav;it;fear
E perchè, dire che fregna sempre non è criticare? Io credo di sì.;f_dis008ait.wav;it;disgust
Ma guarda che novità.;f_dis009ait.wav;it;disgust
Voglio dire Vanessa, che anche i pazzi gradirebbero essere invitati.;f_dis010ait.wav;it;disgust
Sì un trionfo.;f_dis016ait.wav;it;disgust
Sei caduto e hai battuto la testa sul pavimento.;f_dis017ait.wav;it;disgust
Qualcun’altro ha un'idea che io possa utilizzare?;f_dis020ait.wav;it;disgust
Joid, tesoro caro, io ti voglio tanto bene.;f_dis024ait.wav;it;disgust
Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;f_dis024bit.wav;it;disgust
Sei sempre stato più simile a tuo padre.;f_dis025ait.wav;it;disgust
Ti dispiacerebbe dirmi cosa vuoi esattamente?;f_dis026ait.wav;it;disgust
Ora lei mi dà la pistola o mi ridà i miei soldi.;f_dis027ait.wav;it;disgust
E io preferirei di gran lunga i miei soldi.;f_dis027bit.wav;it;disgust
Me le da per favore?;f_dis028ait.wav;it;disgust
Oh sì, ci avrebbero sparato in mezzo al boulievard.;f_dis029ait.wav;it;disgust
Mio padre è del Puerto Rico, mia madre è del Salvador.;f_dis036ait.wav;it;disgust
Né l'uno né l'altro è il Messico.;f_dis036bit.wav;it;disgust
Non lo so. Non è malata?;f_dis037ait.wav;it;disgust
I malati a volte inventano le cose se non sbaglio.;f_dis038ait.wav;it;disgust
Una donna che aveva in cura ha ucciso il marito.;f_dis039ait.wav;it;disgust
Una benda per gli occhi.;f_dis048ait.wav;it;disgust
Oh smettila mamma. Ti farai venire una emorragia nasale.;f_dis106ait.wav;it;disgust
Me lo ricordi tutti i santi giorni.;f_dis107ait.wav;it;disgust
Non era una domanda.;f_dis108ait.wav;it;disgust
Qualcuno ha una sigaretta?;f_dis109ait.wav;it;disgust
E tu puoi fare qualsiasi cosa, giusto?;f_dis150ait.wav;it;disgust
Poteva anche salire il tuo amico gli facevo un caffé.;f_dis189ait.wav;it;disgust
Non sarà un novantotto ma sono ancora.;f_dis190ait.wav;it;disgust
In Texas non lo bevono il caffè?;f_dis191ait.wav;it;disgust
Larry, perché non te ne vai adesso.;f_dis192ait.wav;it;disgust
Certo che lo so.;f_dis219ait.wav;it;disgust
Sono guarita.;f_gio002ait.wav;it;happiness
Congratulazioni!;f_gio011bit.wav;it;happiness
Bene, grazie Signor Burton.;f_gio012ait.wav;it;happiness
Sai che sorpresa.;f_gio014ait.wav;it;happiness
Fantastica! È veramente grandiosa. Perfetto.;f_gio019ait.wav;it;happiness
Sei proprio tu!;f_gio030ait.wav;it;happiness
A volte, ma un po' più silenziosamente.;f_gio034ait.wav;it;happiness
No, mi serve un lottatore con una laurea.;f_gio038ait.wav;it;happiness
È meraviglioso.;f_gio045ait.wav;it;happiness
Al contrario.;f_gio047ait.wav;it;happiness
Nessuno mi fa ridelle come te.;f_gio100ait.wav;it;happiness
Ciao papá.;f_gio101ait.wav;it;happiness
Ho ordinato le partecipazioni due settimane fa.;f_gio103ait.wav;it;happiness
Forse dovresti solo, come dire.;f_gio106ait.wav;it;happiness
Tu e mio figlio portate la stessa taglia.;f_gio108ait.wav;it;happiness
Oh, mi scusi io … mi scusi.;f_gio109ait.wav;it;happiness
Ah mio dio Peter, siamo stati bambini in queste stanze.;f_gio110ait.wav;it;happiness
È sempre stato il mio nome preferito.;f_gio111ait.wav;it;happiness
E solo che … [non-verbal];f_gio112ait.wav;it;happiness
Che splendida idea.;f_gio113ait.wav;it;happiness
Ah questa casa! È questa casa che mi prende.;f_gio115ait.wav;it;happiness
Uno che lavora qui mi sembra un po' strano.;f_gio115bit.wav;it;happiness
Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;f_gio116ait.wav;it;happiness
Di quei che parlavano in latino.;f_gio116bit.wav;it;happiness
Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.;f_gio117ait.wav;it;happiness
Oh, credevo parlarsi del giudice.;f_gio120ait.wav;it;happiness
Avevo ragione.;f_gio122ait.wav;it;happiness
Grazie tante.;f_gio123ait.wav;it;happiness
Avanti, calmati.;f_gio125ait.wav;it;happiness
Sei splendente come un panno illustrato.;f_gio126ait.wav;it;happiness
Credevo che fossi prestato ad un amore tempestoso.;f_gio133ait.wav;it;happiness
Mio Dio guarda, mi sono ricoperta.;f_gio134ait.wav;it;happiness
CioÈ, tutto qua.;f_gio136ait.wav;it;happiness
No! [non-verbal] Sí! ;f_gio162bit.wav;it;happiness
[non-verbal] bene.;f_gio189ait.wav;it;happiness
Stai arteggiando qualcosa.;f_gio200ait.wav;it;happiness
È un fochettone da cucina.;f_gio203ait.wav;it;happiness
Che cosa hai detto.;f_gio218ait.wav;it;happiness
Solo le bimbettine con i boccoli d'oro.;f_gio219ait.wav;it;happiness
Buon compleanno!;f_gio344ait.wav;it;happiness
Bastardo!;f_rab002ait.wav;it;anger
Un dovere come questo Leonard non esiste.;f_rab008ait.wav;it;anger
Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.;f_rab009ait.wav;it;anger
Io muoio se resto ancora qui.;f_rab010ait.wav;it;anger
Dite così. No! questa è la mia!;f_rab010bit.wav;it;anger
I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.;f_rab012ait.wav;it;anger
È in quela casa col portone blue a Notting Hill.;f_rab012bit.wav;it;anger
E poi te ne vai fori con quelle maledette mutande.;f_rab012cit.wav;it;anger
Santo Dio. Io ho un fidanzato.;f_rab013bit.wav;it;anger
E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.;f_rab014ait.wav;it;anger
Certo, per te una situazione perfetta, vero?;f_rab015ait.wav;it;anger
Minimo imput massima pubblicità.;f_rab015bit.wav;it;anger
Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.;f_rab015cit.wav;it;anger
Abbiamo visto le foto.;f_rab015dit.wav;it;anger
Ti rendi conto ch’è la cosa più preziosa che possediamo.;f_rab037ait.wav;it;anger
Io voglio saperlo adesso, quando diavolo vine casa. Adesso!;f_rab042ait.wav;it;anger
Non provare a toccarla.;f_rab064ait.wav;it;anger
Corri qualche rischio. Fai qualche errore!;f_rab068bit.wav;it;anger
Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.;f_rab070bit.wav;it;anger
Niente box fuori casa. Capito.;f_rab082ait.wav;it;anger
