file_name;transcription;language;emotion;model_transcription;model_emotion
m_rab102aen;How hard can that be?;english;anger; How hard can that be?;disgust
m_rab115aen;Fights being stopped by referees? He's pathetic!;english;anger; Fights me and stop my reveries? He's pathetic!;anger
m_rab121aen;What does that mean?;english;anger; What does that mean?;anger
m_rab121ben;If she's not guilty, why am I?;english;anger; If she's not guilty, why am I?;anger
m_tri002aen;Makes you feel ...;english;sadness; Thanks for being here.;happiness
m_tri002ben;... alian.;english;sadness; He'll eat it.;anger
m_tri004ben;You know, after ...;english;sadness; You know, I have to...;disgust
m_tri004een;... then I ever was of being in ...;english;sadness; Never was a been;sadness
m_tri005aen;I loved her.;english;sadness; I loved it.;happiness
m_tri005cen;When we were sitting in that kitchen that night ...;english;sadness; when we were sitting in that kitchen at night.;fear
m_tri005een;I don't want it.;english;sadness; I'm wanted.;sadness
m_tri007cen;She had to go meet Eve and Diane.;english;sadness; We have to go meet Eve and Diane.;happiness
m_tri008aen;We were gonna leave Sunday.;english;sadness; I'm gonna leave Sunday.;sadness
m_tri008ben;We were gonna get married when we got there.;english;sadness; We were going to get married when we got there.;happiness
m_tri009aen;I loved her so much.;english;sadness; I love her so much.;happiness
m_tri009cen;It doesn't happen twice.;english;sadness; It doesn't happen twice.;sadness
m_tri011aen;But now she wants to die.;english;sadness; But now she wants to die.;anger
m_tri011cen;And I swear to God, Father ...;english;sadness; And I swear to God, Father.;disgust
m_tri011den;It's comitting a sin by doing it.;english;sadness; It's committing a sin by doing it.;disgust
m_tri011een;By keeping her alive I'm killing her.;english;sadness; I'm keeping her alive, I'm killing her.;anger
m_tri011fen;Do you know what I mean?;english;sadness; Don't obey.;anger
m_tri011gen;How do I get around that?;english;sadness; How do I get around that?;anger
m_tri012aen;Went to see Maggie this morning.;english;sadness; I went to see Manga this morning.;happiness
m_tri012ben;You must have been somewhere else.;english;sadness; You must have been somewhere else.;sadness
m_tri014aen;But maybe you won't sign them.;english;sadness; Maybe you want something;anger
m_tri014ben;Maybe you'll just give me some time.;english;sadness; Maybe you'll just give me some time.;happiness
m_tri014cen;I will try to figure this out.;english;sadness; I will try to figure this out.;sadness
m_tri015aen;Whatever you do, Rosen is right about one thing.;english;sadness; Whatever you do, Rosen is right about one thing.;anger
m_tri015ben;You shouldn't be here.;english;sadness; You shouldn't be here.;anger
m_tri015cen;I'm not safe anymore.;english;sadness; I'm not safe anymore.;sadness
m_tri020aen;You have a gift.;english;sadness; You have a gift.;happiness
m_tri021aen;You know, they like you.;english;sadness; You know, they like you.;happiness
m_tri021ben;And if you leave, I can't learn this way.;english;sadness; And if you leave, I can't learn this way.;sadness
m_tri025ben;Couldn't help that one.;english;sadness; Couldn't help that one.;sadness
m_tri026aen;And he can't stop thinking about Annie.;english;sadness; And he can't stop thinking about it.;anger
m_tri027aen;Ever since then, things have been different.;english;sadness; Ever since then, things have been different.;disgust
m_tri028aen;He is not the same person that he used to be.;english;sadness; He's not the same person that he used to be.;disgust
m_tri028ben;And his wife ... doesn't like the person that he's become.;english;sadness; And his wife doesn't like the person that he's become.;disgust
m_tri029ben;And then one day Malcom meets this wonderful little boy.;english;sadness; And then one day Malcolm meets this wonderful little boy.;happiness
m_tri030aen;And Malcom decides to try and help this new boy.;english;sadness; And Malcolm decides to try and help this new boy.;anger
m_tri030ben;Cause he feels that ...;english;sadness; Because he feels that.;sadness
m_tri030cen;... it would be like ... helping that other one too.;english;sadness; be like helping that other one too.;happiness
m_tri038aen;You have to understand. When I was growing up, he was gone more than he was there.;english;sadness; You have to understand, when I was growing up, he was gone more than he was there.;disgust
m_tri040aen;Maybe he never wanted a family.;english;sadness; Maybe he never wanted a family.;sadness
m_tri041aen;Whatever it is, he likes his second life ...;english;sadness; Whatever it is he likes his second life.;happiness
m_tri041ben;... better and the reason that he tells his stories is because he can't stand this boring place.;english;sadness; And the reason that he tells these stories is because he can't stand this boring place.;disgust
m_tri042aen;What's true?;english;sadness; What's true?;anger
